Company Name,Title,Location,Stipend
SuperNova,Human Resources (HR),Mumbai,"₹ 8,000-12,000 /month"
Qriocity Ventures Private Limited,Graphic Design,Work From Home,"₹ 10,000 /month"
Qriocity Ventures Private Limited,Cinematography,Thane,"₹ 10,000 /month"
Buddha Education Association Incorporation,Content Writing,Mumbai,"₹ 15,000 /month"
Buddha Education Association Incorporation,Human Resources (HR),Mumbai,"₹ 16,000 /month"
Buddha Education Association Incorporation,Mobile App Development,Work From Home,"₹ 15,000 /month"
Buddha Education Association Incorporation,Marketing,Mira Bhayandar,"₹ 16,000 /month"
Buddha Education Association Incorporation,Operations,Mumbai,"₹ 10,000 /month"
Buddha Education Association Incorporation,Web Development,Work From Home,"₹ 10,000 /month"
Buddha Education Association Incorporation,Interior Design,Work From Home,"₹ 12,000 /month"
Buddha Education Association Incorporation,Mechanical Engineering,Hyderabad,"₹ 8,000 /month"
Buddha Education Association Incorporation,Business Development (Sales),Work From Home,"₹ 15,000 /month"
Shivam Landscapers,Site Engineering (Civil),Work From Home,"₹ 6,000 /month"
Kashida Couture,Social Media Marketing,Work From Home,"₹ 10,000-15,000 /month"
Hexagn,Web Development,Pune,"₹ 5,000-8,000 /month"
Knitroot India Private Limited,Fashion Design,Greater Noida,"₹ 7,000-10,000 /month"
INDIA Redefined,Social Work,Noida,Unpaid
Bugs & Errors Studio,Business Development (Sales),Delhi,"₹ 10,000 /month +  Incentives"
REMBO EVENTS,Telecalling,Ghaziabad,"₹ 7,000 /month"
Icareheal,Graphic Design,Work From Home,"₹ 2,000-3,000 /month"
NEOMARCHE,Telecalling,Work From Home,"₹ 5,000 /month +  Incentives"
OyeLabs,Business Development (Sales),Work From Home,"₹ 10,000-20,000 /month"
Stashlers Private Limited,Social Media Marketing,Work From Home,"₹ 8,000-10,000 /month"
CodeRift,Graphic Design,Work From Home,"₹ 3,000 /month"
P2P MARKETING,Graphic Design,Bangalore,"₹ 4,000-8,000 /month"
Bake Buddy,Business Development (Sales)- Client Onboarding,Work From Home,"₹ 2,500-6,000 /month"
Vezza Interiors & Space Saving Firm,Interior Design,Work From Home,"₹ 6,000 /month"
GAMSYS Tech Private Limited,System & Network Administration,Work From Home,"₹ 5,000-10,000 /month"
Nerdyinfo,Content Editing,Ahmedabad,"₹ 1,500 /month"
Expertbells Consulting Private Limited,Business Development (Sales),Chennai,"₹ 5,000-8,000 /month"
Sdaemon Infotech Private Limited,HR Trainee,Delhi,"₹ 5,000 /month"
FACZO TECHNOLOGIES PRIVATE LIMITED,Graphic Design,Kolkata,"₹ 5,000 /month"
Access Assist,Motion Graphics,Pune,"₹ 5,000 /month"
Mployd HR Services,Inside Sales,Bangalore,"₹ 5,000 /month"
Cognochain Software Private Limited,Sales Consultant,Mumbai,"₹ 10,000-15,000 /month"
EDUHOLIC,Business Development (Sales),Jaipur,"₹ 5,000 /month +  Incentives"
Expo Sales Agency,Accounting & Bookkeeping,Work From Home,"₹ 10,000-12,000 /month"
ZakApps Software,Digital Marketing,Work From Home,"₹ 10,000 /month"
APPTech Mobile Solutions Private Limited,Lead Generation,Work From Home,"₹ 5,000 /month +  Incentives"
NTech Solutions Private Limited,Sales,Work From Home,"₹ 5,000 /month +  Incentives"
WNU Investment Services,Research & Analysis (Mutual Fund),Work From Home,"₹ 5,000 /month"
Heterize Infotech Private Limited,Data Entry,Work From Home,"₹ 2,000-4,000 /month"
Heterize Infotech Private Limited,Social Media Marketing,Ahmedabad,"₹ 2,000 /month"
Heterize Infotech Private Limited,Digital Marketing,Work From Home,"₹ 2,000-4,000 /month"
Blackcoffer,Social Media Marketing,Work From Home,"₹ 5,000 /month"
Blackcoffer,DevOps Engineering,Work From Home,"₹ 10,000 /month"
SkillCircle,Information Technology,Work From Home,"₹ 8,000 /month"
Worxstax Solutions Private Limited,Graphic Design,Work From Home,"₹ 12,000 /month"
Across The Globe (ATG),E-Commerce Listing,Work From Home,"₹ 2,000 /month"
Vikalp India Private Limited,Online Carnatic Music Faculty,Work From Home,"₹ 7,000-9,000 /month"
Vikalp India Private Limited,Online Guitar Faculty,Work From Home,"₹ 5,000-8,000 /month"
Web3 O' Clock,Video Editing/Making,Work From Home,"₹ 5,000 /month"
Vikalp India Private Limited,Online Science Faculty,Chennai,"₹ 6,000-9,000 /month"
Vikalp India Private Limited,Online Pre-school Teaching,Delhi,"₹ 5,000-9,000 /month"
Web3 O' Clock,Search Engine Optimization (SEO),Indore,"₹ 2,500 /month"
Vikalp India Private Limited,Online Phonics Faculty,Mumbai,"₹ 5,000-9,000 /month"
Web3 O' Clock,Anchoring,Jaipur,"₹ 5,000 /month"
Hazyaz Technologies,Business Development (Sales),Kolkata,"₹ 2,000 /month +  Incentives"
Amara Accessories India,Social Media Marketing,Lucknow,"₹ 10,000 /month"
Inspire Infosol Private Limited,Sales Consultant,Work From Home,"₹ 10,000 /month"
WeeeBuild,Business Research,Work From Home,"₹ 10,000-15,000 /month"
Fargo Handbags,Content Writing,Work From Home,"₹ 6,000 /month"
Thalappakatti Hotels Private Limited,Human Resources (HR),Work From Home,"₹ 5,000 /month"
She Can Foundation,Crowdfunding,Work From Home,20% of Total Amount Raised
She Can Foundation,Social Entrepreneurship,Delhi,Unpaid
Across The Globe (ATG),UI/UX Testing,Pune,"₹ 2,500 /month +  Incentives"
Narigiri's Connect To Universe Private Limited,Online Law Admission Test Tutoring,Mumbai,"₹ 1,500-8,000 /month"
MarketInc,Video Editing/Making,Work From Home,"₹ 10,000-40,000 /month"
Navbharati Chemicals Private Limited,Digital Marketing,Work From Home,"₹ 10,000 /month"
Polimeraas,Human Resources (HR),Work From Home,"₹ 20,000 /month"
Sakshar Media,Digital Marketing,Work From Home,"₹ 2,000 /month"
Xtracut,Social Media Marketing,Gandhidham Sub-District,"₹ 5,000-10,000 /month"
The Innovation Story,Robotics,Work From Home,"₹ 4,000 lump sum"
Telstra Technologies India Private Limited,Graphic Design,Work From Home,"₹ 8,000 /month +  Incentives"
Trimark Management Services,Lead Generation,Work From Home,"₹ 3,000 /month"
WRMS Global,Graphic Design,Work From Home,"₹ 10,000-20,000 /month"
Maayavastra,Digital Marketing,Work From Home,"₹ 1,000 /month +  Incentives"
Trulyhelp Trust,Fundraising,Work From Home,"₹ 1,000 /month +  Incentives"
Peel-Works Private Limited,Inside Sales/Field Sales,Work From Home,"₹ 5,000 /month +  Incentives"
MagicalXR Solutions Private Limited,Executive Assistant To The CEO,Bangalore,"₹ 5,000 /month +  Incentives"
Blackcoffer,Marketing,Work From Home,"₹ 5,000 /month"
Blackcoffer,UI/UX Design,Work From Home,"₹ 5,000 /month"
GAMSYS Tech Private Limited,Android/Flutter Development,Work From Home,"₹ 5,000-10,000 /month"
Talent Corner HR Services,Web Development,Work From Home,"₹ 15,000 lump sum"
GAMSYS Tech Private Limited,Full Stack Development,Work From Home,"₹ 5,000-10,000 /month"
Pawzz,Information Technology,Work From Home,"₹ 15,000-30,000 /month"
India Trotter,Travel,Work From Home,"₹ 12,000 /month"
Narigiri's Connect To Universe Private Limited,Online Law National Admissions Test Tutoring,Work From Home,"₹ 1,500-8,000 /month"
SkillStreet,UI/UX Design,Pune,"₹ 10,000-15,000 /month"
SciAstra Education Private Limited,Video Editing/Making,Work From Home,"₹ 15,000-25,000 /month"
"Sports Vision Inc (Minneapolis, United States)",React Native Mobile App Development,Work From Home,"₹ 20,000-30,000 /month"
DevTown,Human Resources (HR),Mumbai,"₹ 5,000 /month"
SkillStreet,"Memes, GIF & Video Content Creation",Delhi,"₹ 5,000 /month"
SciAstra Education Private Limited,Youtube Video Script Writing (Hindi + English),Work From Home,"₹ 4,000-8,000 /month"
Rani Sahiba,Human Resources (HR),Mumbai,"₹ 10,000 /month"
MindMap IT Solutions,WordPress Development,Work From Home,"₹ 4,000 /month"
Rank Revenue Digitech,Search Engine Optimization (SEO),Work From Home,"₹ 8,000-12,000 /month"
WeGrow Consultancy And Solution,Social Media Marketing,Ahmedabad,"₹ 1,000 /month +  Incentives"
Nitin Goyal,Law/Legal,Work From Home,"₹ 3,000-4,000 /month"
Futurama Education,Teaching,Work From Home,"₹ 5,000-10,000 /month"
Ace Global,Content Writing,Pune,"₹ 5,000 /month"
Gajjar Media,Digital Marketing,Work From Home,"₹ 2,000 /month"
MANPREET  KAUR,Inside Sales,Delhi,"₹ 5,000 /month"
Sam Entertainment & Talent Management Company,Business Development (Sales),Work From Home,"₹ 2,000 /month +  Incentives"
Chandra Times,Anchoring,Noida,"₹ 1,000 /month"
Kaash,Digital Marketing,Thane,"₹ 3,500 /month"
PlasticCity,Marketing,Navi Mumbai,"₹ 10,000 /month"
Cehpoint,Software Rebranding & Rebuilding,Mumbai,"₹ 2,000 /month"
Silvergrey,Human Resources (HR),Work From Home,"₹ 5,000-8,000 /month"
Renew U,Social Media Marketing,Agra,"₹ 5,000-10,000 /month"
Certera Solutions LLP,Search Engine Optimization (SEO),Pune,"₹ 10,000 /month"
McKinley & Rice Creativity Private Limited,Content Writing,Work From Home,"₹ 5,000-8,000 /month"
Globefirm Exports,International Business Development,Delhi,"₹ 5,000 /month"
GEMA Education Technology Private Limited,Human Resources (HR),Bangalore,"₹ 1,000 /month"
Spalba,Business Development (Sales),Hyderabad,"₹ 6,000-10,000 /month"
Fingenics Technology Private Limited,Digital Marketing,Work From Home,"₹ 5,000 lump sum"
Evolution Infosystem,Business Development (Sales),Mumbai,"₹ 10,000 /month"
Monday Hotels,Hotel Management,Chennai,"₹ 4,000-7,000 /month"
My Story,Marketing,Work From Home,"₹ 1,000-2,000 /month"
Navigate2Educate,Telecalling,Jamshedpur,"₹ 8,000 /month"
Clixar Studio,Social Media Marketing,Ranchi,"₹ 5,000 /month"
MiClient Private Limited,Telecalling,Bangalore,"₹ 5,000-10,000 /month"
Innefu,Human Resources (HR),Indore,"₹ 8,000 /month"
Proplegit.com,Client Servicing,Indore,"₹ 12,000-15,000 /month"
Karv Forever By DP Brandmark House,Photography,Indore,"₹ 10,000 /month"
Tangerine Design Studio,Interior Design,Work From Home,"₹ 1,000 /month"
Maate,Influencer Marketing,Work From Home,"₹ 15,000 /month"
Donivia Overseas Private Limited,HR Recruitment,Delhi,"₹ 3,500 /month +  Incentives"
MIT World Peace School,HR Consultant,Work From Home,"₹ 10,000 /month"
Hued Life,Digital Marketing,Work From Home,"₹ 5,000 /month"
Ranjini Textiles,Content & E-Commerce Management,Work From Home,"₹ 12,000 /month"
Mithr Services,Human Resources (HR),Work From Home,"₹ 5,000 /month"
Cyboard Edtech Private Limited,Content Writing,Work From Home,"₹ 15,000 /month"
Beyond Words,Search Engine Optimization (SEO),Work From Home,"₹ 10,000 /month"
V M Jewellery,Web Development,Work From Home,"₹ 7,000-10,000 /month"
Counselling Wala,Business Development (Sales),Work From Home,"₹ 3,000 /month +  Incentives"
Ace Prime Infra Private Limited,Sales,Work From Home,"₹ 5,000 /month"
Modarch India,Architecture,Work From Home,"₹ 8,000-10,000 /month"
Counselling Wala,Business Development (Sales),Work From Home,"₹ 3,000 /month +  Incentives"
Ace Prime Infra Private Limited,Sales,Bangalore,"₹ 5,000 /month"
Modarch India,Architecture,Delhi,"₹ 8,000-10,000 /month"
Futuristic Social,Sales,Gurgaon,"₹ 3,000 /month"
Digitalize You,Graphic Design,Work From Home,"₹ 5,000 /month"
Pexelar,Search Engine Optimization (SEO),Coimbatore,"₹ 1,000-1,500 /month"
MAKE IT IN ABROAD LLP,Field Sales,Bangalore,"₹ 10,000 /month +  Incentives"
Pankaj Barla,Accounting & Taxation,Work From Home,"₹ 10,000 /month"
PRIVAAKINDIA INNOVATON PRIVATE LIMITED,Business Development (Sales),Work From Home,"₹ 1,000 /month +  Incentives"
Fusion Beauty,Human Resources (HR),Work From Home,"₹ 10,000-15,000 /month"
QuoDeck Technologies Private Limited,Content Writing,Work From Home,"₹ 8,000 /month"
Times Internet,Sales,Work From Home,"₹ 10,000 /month"
Global Techvision,Business Development (Sales),Pune,"₹ 10,000 /month"
Morbid Kuriosity,Content Writing,Hyderabad,"₹ 12,000 /month"
3 LEAF INDIA,E-Commerce Marketing,Mumbai,"₹ 5,000-30,000 /month"
INCRONIX TECHNOLOGY,Human Resources (HR),Hyderabad,"₹ 10,000 lump sum"
Impact Guru Technology Ventures Private Limited,Business Development (Sales),Delhi,"₹ 5,000 /month"
WeSolveForYou,Copywriting,Chennai,"₹ 15,000 /month"
Kredily,Content Writing,Mumbai,"₹ 15,000 /month"
Growbiznetwork,Content Writing,Bangalore,"₹ 7,000 /month"
Ezilone Marketing Solutions,Business Development (Sales),Work From Home,"₹ 6,000 /month"
Alkraj Developers Private Limited,Content Development (English),Gurgaon,"₹ 5,000 /month"
Radiant Techlearning,Human Resources (HR),Work From Home,"₹ 5,000 /month"
PyNet Labs Private Limited,Social Media Marketing,Work From Home,"₹ 10,000 /month"
Your Retail Coach (YRC),Business Consultant,Bangalore,"₹ 5,000 /month"
Blackcoffer,Human Resources (HR),Work From Home,"₹ 5,000 /month"
Just Shawarma,Human Resources (HR),Work From Home,"₹ 15,000 /month"
Sree Saroj Mines And Minerals,E-Commerce Marketing,Work From Home,"₹ 10,000 /month"
Channel Technologies Private Limited,Content Writing,Thane,"₹ 12,000 /month"
Shasta Recruitment Technologies,Video Editing/Making,Navi Mumbai,"₹ 3,000 /month"
Sanmol Software Solutions Private Limited,Marketing,Mumbai,"₹ 8,000-10,000 /month"
CollMat,Content Writing & Research,Mumbai,"₹ 1,100 /month"
Ishha Ajmera,Social Media Marketing,Thane,"₹ 3,000 /month +  Incentives"
UnGap,Social Media Marketing,Navi Mumbai,"₹ 6,000-10,000 /month"
Parksons Packaging Limited,Recruitment,Mumbai,"₹ 12,000 /month"
PROPZILLA INFRATECH PRIVATE LIMITED,Business Development (Sales),Delhi,"₹ 10,000 /month"
Leufit Healthtech Solutions LLP,Video Editing/Making,Gurgaon,"₹ 3,000 /month +  Incentives"
Narigiri's Connect To Universe Private Limited,Online German Language Tutoring,Bangalore,"₹ 1,500-8,000 /month"
Black Buck Design Studios,Client Service Management,Mumbai,"₹ 10,000 /month"
Realtzo,Social Media Marketing,Work From Home,"₹ 3,000 /month +  Incentives"
Bangalore Real Estate,Content Writing,Work From Home,"₹ 12,000 /month"
Ace Global,Content Writing,Noida,"₹ 5,000 /month"
Ori,Content Writing,Delhi,"₹ 15,000-20,000 /month"
Sri Laxmi Kravia Techlabs Private Limited,Mechanical Engineering,Pitampura,"₹ 5,000 /month"
Vansum Industries,Administration,Work From Home,"₹ 8,000 /month"
Anoma DigiTech Private Limited,International Business Development,Work From Home,"₹ 5,000 /month"
PEKO PAYMENTS PRIVATE LIMITED,Graphic Design,Work From Home,"₹ 8,000 /month"
Bijon Trading Private Limited (Genotek),Future CMO (Preplacment),Mumbai,"₹ 15,000 /month +  Incentives"
HealthFlex,Biomechanics & Anthropometry,Work From Home,"₹ 20,000 /month"
MedFam,Finance & Founder's Office,Work From Home,"₹ 20,000 /month"
Qvolv Technologies Private Limited,Sales Consultant - Lead Generation,Bangalore,"₹ 5,000-15,000 /month"
Saregama India Limited,Social Media Marketing,Work From Home,"₹ 5,000-10,000 /month"
Harkoi,Community Management,Indore,"₹ 13,000 /month"
Aditya Epc Infratech Private Limited,Marketing,Noida,"₹ 12,000 /month"
Ruchi Vashist,Social Media Marketing,Delhi,"₹ 2,500 /month"
Jaideep Sachdeva,Interior Design,Gurgaon,"₹ 8,000-10,000 /month"
Leap Skills,Behavioral Therapy,Noida,"₹ 11,500 /month"
Luxova,Digital Marketing,Bangalore,"₹ 8,000-20,000 /month"
Bhash Software Labs Private Limited,YouTube Content Creation,Pune,"₹ 15,000 /month"
39 Solutions,Digital Marketing,Work From Home,"₹ 12,000 /month"
Value Educator,Equity Analyst,Gurgaon,"₹ 5,000 /month"
Brihat Infotech Private Limited,Full Stack Development,Work From Home,"₹ 3,000 /month"
Home Revise Education Private Limited,Animation,Rajkot,"₹ 14,000-20,000 /month"
Essentially AI Private Limited,Human Resources (HR),Amalapuram,"₹ 10,000-25,000 /month"
Referencified Tech Private Limited,Graphic Design,Navi Mumbai,"₹ 3,000 /month"
Horizon Industrial Parks Private Limited,Marketing,Hyderabad,"₹ 15,000 /month"
Invest4Edu Private Limited,Market Research,Vijayawada,"₹ 5,000 /month"
Shikkhoni,Video Editing/Making,Nagpur,"₹ 5,000 /month"
Preeti Rawat,Videography,Gujarat,"₹ 10,000 /month"
Unique Keemaya Infrahomes Private Limited,Human Resources (HR),Work From Home,"₹ 5,000-10,000 /month"
Shri Sai Foil Printer & Packers,Digital Marketing,Work From Home,"₹ 2,000 /month"
Brihat Infotech Private Limited,Flutter Development,Delhi,"₹ 3,000 /month"
Moram Napu,Digital Marketing,Gurgaon,"₹ 1,000 /month"
Catalyst,Human Resources (HR),Delhi,"₹ 6,000 /month"
Digital Prospects Consulting,Outbound Telecalling,Ahmedabad,"₹ 10,000-25,000 /month"
Thoughtle Technologies,Social Media Marketing,Delhi,"₹ 6,000 /month"
Patni And Patni Chartered Accountants,Accounting & Taxation,Work From Home,"₹ 4,000-12,000 /month"
Campinators,E-Commerce Sales,Gurgaon,"₹ 4,000 /month +  Incentives"
Aid For Selfless Giving,Fundraising,Delhi,"₹ 1,000-10,000 /month"
Eduminatti,Digital Marketing,Alandi,"₹ 8,000 /month"
Eduminatti,Operations,Bangalore,"₹ 12,000 /month"
MedFam,Human Resources (HR),Work From Home,"₹ 20,000 /month"
Softy Incorporation,Telecalling,Aurangabad,"₹ 3,000 /month +  Incentives"
Maalexi Incorporation,Web Development,Pune,"₹ 10,000 /month"
Breakout,Content Writing,Mumbai,"₹ 3,000-5,000 /month"
Business Manpower Solutions,Human Resources (HR),Lonavala,"₹ 2,000 /month +  Incentives"
ConsultAgora Private Limited,UX/UI Design,Noida,"₹ 10,000 /month"
Lilac Mosaic,Corporate Sales,Work From Home,"₹ 14,000-20,000 /month"
Worldwide Media (Times Group),Editorial,Mumbai,"₹ 5,000 /month"
CFOLogic Private Limited,Business Development (Sales),Work From Home,"₹ 10,000-15,000 /month"
EduFund,UI/UX Design,Work From Home,"₹ 10,000 /month"
Goseen Solutions Private Limited,Business Development (Sales),Jaipur,"₹ 6,000-15,000 /month"
Pentagon Space,Business Development (Sales),Work From Home,"₹ 8,000-10,000 /month"
Artiset,Operations,Noida,"₹ 10,000 /month +  Incentives"
North Strom Academy,Videography,Delhi,"₹ 10,000 /month"
Acufore India Private Limited,Inside Sales,Mumbai,"₹ 10,000 /month"
Bezt Labs,Human Resources (HR),Noida,"₹ 3,000-12,000 /month"
CaratLane Trading Private Limited,Content & E-Commerce Management,Work From Home,"₹ 15,000 /month"
FIKAA,Python Development,Work From Home,"₹ 12,000-15,000 /month"
SVF Entertainment Private Limited,Digital Marketing,Gurgaon,"₹ 8,000-10,000 /month"
BookSpot Technologies,Digital Marketing,Pune,"₹ 5,000 /month"
IHW Council,Copywriting,Mumbai,Unpaid
Newzertainment,Search Engine Optimization (SEO),Delhi,"₹ 1,000 /month"
Visioapps Technology Private Limited,Market Research,Bangalore,"₹ 5,000-7,000 /month"
BanBanjara Travels LLP,Content Writing,Delhi,"₹ 3,000 lump sum"
Shri Siddhivinayak Provital LLP,Digital Marketing,Work From Home,"₹ 10,000 /month"
Prime Mark General Trading LLC,Export Merchandising,Work From Home,"₹ 9,000 /month"
WebMantra Technologies,Telecalling,Noida,"₹ 10,000 /month"
GoDropdown,Angular.js Development,Gurgaon,"₹ 21,000 /month"
GoDropdown,Graphic Design,Work From Home,"₹ 20,000 /month"
"Hub Of Technology (Dubai, United Arab Emirates)",Content Development (Logical Reasoning),Work From Home,"₹ 12,000 /month"
Eduminatti,Video Editing/Making,Bangalore,"₹ 12,000 /month"
Eduminatti,Human Resources (HR),Hyderabad,"₹ 12,000 /month"
Clearly Blue Digital Private Limited,Marketing,Delhi,"₹ 8,000 /month"
Lilac Mosaic,Product Marketing,Noida,"₹ 11,500-33,000 /month"
Eduminatti,Social Media Marketing,Chennai,"₹ 10,000 /month"
SGF (SPICE GRILL FLAME),Marketing,Pune,"₹ 8,000 /month"
Ostello India Private Limited,User Experience Design,Work From Home,"₹ 8,000-10,000 /month"
Hindi Top,Content Writing,Work From Home,"₹ 1,000 /month"
Eduminatti,Graphic Design,Mumbai,"₹ 8,000 /month"
New Spice Solutions Private Limited (Smart Dukaan),Graphic Design,Mumbai,"₹ 10,000 /month"
ZIBAA,Operations,Work From Home,"₹ 6,000 /month"
Narigiri's Connect To Universe Private Limited,Online BASS Guitar Tutoring,Bangalore,"₹ 1,500-8,000 /month"
Beyul Private Limited,Customer Service/Customer Support,Work From Home,"₹ 8,000 /month"
Axe Consultancy And Security Services LLC,Product Design,Noida,"₹ 7,000 /month"
Thinking Tree Learnings Private Limited,Content Writing (UGC Net Paper 1),Ahmedabad,"₹ 8,000-15,000 /month"
GoMechanic,Human Resources (HR),Pune,"₹ 12,000 /month"
Narigiri's Connect To Universe Private Limited,Online IBDP Chemistry Tutoring,Work From Home,"₹ 1,500-8,000 /month"
BSL Placement Private Limited,Sales,Work From Home,"₹ 8,000 /month"
ArchSlate,Content Writing (Architecture And Design),Work From Home,"₹ 7,000 /month"
SNZ Designs Private Limited,Social Media Marketing,Bangalore,"₹ 6,000 /month"
Lemon Chilli Media Solutions,Social Media Marketing,Bangalore,"₹ 5,000-10,000 /month"
Aeko Propack Private Limited,Graphic Design,Greater Noida,"₹ 8,000-10,000 /month"
NiYO Solutions Incorporation,Product Management,Mumbai,"₹ 30,000 /month"
Spoclearn Private Limited,Search Engine Optimization (SEO),Mumbai,"₹ 5,000 /month +  Incentives"
The Open Music School,Administration,Prayagraj,"₹ 7,000-10,000 /month"
Skillinabox,Video Editing/Making,Work From Home,"₹ 10,000-15,000 /month"
Ansh Intertrade Private Limited,Social Media Marketing,Delhi,"₹ 4,000-5,000 /month"
TechBiz Digital,Social Media Marketing,Dombivli,"₹ 2,000 /month"
Nuin Wellness Private Limited,Digital Marketing,Kalyan,"₹ 5,000 /month"
ASC Technology Solutions Private Limited,Electrical Engineering,Mumbai,"₹ 5,000 /month"
Ophthalmic Technology,Accounts,Badlapur,"₹ 15,000 /month"
RheinBrücke IT Consulting Private Limited,Digital Marketing,Delhi,"₹ 15,000 /month"
White Inc,Growth Marketing,Bangalore,"₹ 15,000 /month"
Content Cliff Private Limited,Graphic Design,Mumbai,"₹ 6,000 /month +  Incentives"
Elphida Digital Solutions,Graphic Design,Thane,"₹ 5,000 /month"
Mckinley Rice,Sales,Work From Home,"₹ 8,000-10,000 /month"
Findoc Financial Services Group,Foreign Portfolio Investment Clearing Specialist,Thane,"₹ 20,000 /month"
MAHALAKSHMI FASHIONS,Content & E-Commerce Management,Navi Mumbai,"₹ 7,000 /month"
Swasthya Plus Network,Journalism,Mumbai,"₹ 5,000-20,000 /month"
Krazy Careers,Digital Marketing,Work From Home,"₹ 3,000 /month +  Incentives"
Roka Dating,Operations,Mumbai,"₹ 15,000 /month"
Nomad Culinary Studio,Recipe Development and Food Content Creation,Work From Home,"₹ 8,000-12,000 /month"
Wobot Intelligence Private Limited,Computer Vision,Kolkata,"₹ 12,500 /month"
Reverse Factor,Accounts,Noida,"₹ 10,000-15,000 /month"
Eclectic,Site Engineering - Interior Design,Mumbai,"₹ 10,000-20,000 /month"
Symphony Solutions,Resume Writing,Work From Home,"₹ 10,000-12,000 /month"
McKinley & Rice Creativity Private Limited,Digital Marketing,Work From Home,"₹ 8,000-10,000 /month"
Zimeshare Technologies (OPC) Private Limited,Database Building/Management,Work From Home,"₹ 10,000 /month"
Oxyhom Realty Private Limited,Data Entry,Mohali,"₹ 10,000-12,000 /month"
MILIND GUPTE,Law/Legal,Work From Home,"₹ 5,000-7,500 /month"
Innovalance Learning Systems,Project Coordination,Work From Home,"₹ 7,500 /month"
Syed Umar,Telecalling,Work From Home,"₹ 3,000 /month +  Incentives"
Gemtroves Advertising,Marketing & Sales Strategy,Work From Home,"₹ 4,000-6,000 /month"
Lohono Stays,Operations  - Civil Engineering,Bangalore,"₹ 25,000 /month"
BSL Placement Private Limited,International Sales,Pune,"₹ 8,000 /month"
SSS SYEBRTECH PVT LTD,Human Resources (HR),Work From Home,"₹ 8,000-10,000 /month"
Radar Soft Technologies,Business Development (Sales),Work From Home,"₹ 7,000 /month"
Magnate Consultants Private Limited,Recruitment Consultant,Thane,"₹ 5,000 /month +  Incentives"
KwikFix Auto Private Limited,Search Engine Optimization (SEO),Work From Home,"₹ 10,000 /month"
Boxnbiz Technologies Private Limited,Social Media Marketing,Work From Home,"₹ 7,000-12,000 /month"
DelveInsight Business Research,Market Research,Mumbai,"₹ 10,000 /month"
ACENZO LLP,Architecture,Pune,"₹ 5,000-15,000 /month"
Couponlap,Influencer Marketing,Pune,"₹ 5,000 /month"
DigitalXperts,Search Engine Optimization (SEO),Work From Home,"₹ 5,000 /month"
Arendelle,Social Media Marketing,Bangalore,"₹ 6,000-10,000 /month"
Viva Biomed,Chemical Engineering,Pune,"₹ 3,500 /month"
Vaibhav Sharma,Sales And Business Development,Mumbai,"₹ 1,000 /month +  Incentives"
Finomes,Marketing,Bangalore,"₹ 5,000 /month"
Talensys,Human Resources (HR),Work From Home,"₹ 3,000-8,000 /month"
Agsure Innovations Private Limited,Graphic Design,Mumbai,"₹ 7,500 /month"
Sai Sravanthi Infra Projects,Administration,Mumbai,"₹ 10,000 /month"
ITechNotion Pvt. Ltd,Digital Marketing,Kolkata,"₹ 10,000 /month"
Refit Actiwear India Private Limited,Social Media Marketing,Work From Home,"₹ 2,500 /month"
Skill Experts Acadmey,Business Development (Sales),Faridabad,"₹ 8,000-15,000 /month"
Nest Global Consulting,HR Consultant,Delhi,"₹ 8,000 /month +  Incentives"
Leo's Mirror Group,Fashion Design,Gurgaon,"₹ 7,000-10,000 /month"
Brains & Taxes Private Limited,CA Articleship,Noida,"₹ 4,000 /month"
Art For Humanity Foundation,Campus Ambassador,Work From Home,Performance Based
Monster India,Community Management,Gurgaon,"₹ 12,000 /month"
Atomy Emediateq,Data Entry,Work From Home,"₹ 5,000-10,000 /month"
Himalayan Yeti Foundation,Social Media Marketing,Faridabad,"₹ 5,000 /month"
NextGen Global Pvt Ltd,Inside Sales,Work From Home,"₹ 4,000 /month"
Technove Global,Human Resources (HR),Kolkata,"₹ 4,000 /month"
Familycare Consumer Private Limited,Graphic Design,Work From Home,"₹ 5,000-9,000 /month"
Storlyy,Social Media Marketing,Work From Home,"₹ 10,000 /month"
Synergetics Information Technology Services Private Limited,Business Development (Sales),Work From Home,"₹ 15,000 /month"
Hashone Careers,Human Resources (HR),Work From Home,"₹ 2,000 /month +  Incentives"
Shivani  T,Digital Marketing,Work From Home,"₹ 6,500 /month"
Alphaabets Digital Labs Private Limited,Digital Marketing,Bangalore,"₹ 10,000 /month"
Travelings Info,Social Media Marketing,Work From Home,"₹ 1,200 /month"
TRIKL,Content Writing,Work From Home,"₹ 1,000 /month +  Incentives"
Idea Usher,Video Editing/Making,Work From Home,"₹ 5,000-15,000 /month"
Tutology,Telecalling,Work From Home,"₹ 1,000 /month +  Incentives"
Intellecap Advisory Services,Human Resources (HR),Noida,"₹ 20,000 /month"
Jyoti Deswal,Social Media Marketing,Kolkata,₹ 800 /week
Board Infinity,Talent Acquisition,Work From Home,"₹ 20,000 /month"
"STEM-Xpert, Techgenius Innovations Pvt Ltd",Administration,Work From Home,"₹ 8,000 /month"
JBCN International School,Human Resources (HR),Work From Home,"₹ 15,000 /month"
I2 Private Limited,Executive Assistant,Work From Home,"₹ 10,000-15,000 /month"
Elsner Technologies Private Limited,Social Media Executive,Gurgaon,"₹ 8,000 /month"
Targetorate Consulting,Human Resources (HR),Work From Home,"₹ 5,000 /month"
