Company Name,Title,Location,Stipend
Bilateral Solutions Private Limited,Business Development (Enterprise Automation),Bangalore,"₹ 15,000-20,000 /month"
Antino Labs Private Limited,PHP Development,Hyderabad,"₹ 15,000 /month"
Indian Art Villa,Customer Service/Customer Support,Hyderabad,"₹ 6,000-8,000 /month"
Gigde Global Solutions Private Limited,Campus Ambassador,Hyderabad,Performance Based
One Root,Agriculture Procurement ( Karnataka Kannada),Hyderabad,"₹ 15,000-20,000 /month"
Mojopanda Exim Private Limited,Research Assistancy (Psychology),Jaipur,"₹ 10,000 /month"
Kerkar Media,Operations,Delhi,"₹ 5,000 /month"
STEMpedia,Graphic Design,Chandigarh,"₹ 10,000 /month"
BookMyShow,Business Development (Live Entertainment),Patiala,"₹ 7,500 /month"
Sneha Chakraborty,Sales,Ludhiana,"₹ 2,000 /month +  Incentives"
BookMyShow,Ticketing (Sunburn),Rajpura,"₹ 7,500 /month"
Wander XO,Travel Consultant,Punjab,"₹ 12,000 /month"
Trijotech Software Consulting Private Limited,Marketing,Gurdaspur,"₹ 15,000 /month +  Incentives"
Internshala Trainings,Student Counseling and Support,Mohali,"₹ 18,000 /month"
Careers360,Content Writing,Hyderabad,"₹ 25,000 /month"
ThumbStack,Videography,Mandi,"₹ 5,000-10,000 /month"
The Modern Ape,Graphic Design,Gurgaon,"₹ 8,000-10,000 /month"
Saathi Eco Innovations India Private Limited,Market Research,Jaipur,"₹ 3,000 /month"
SODE Counseling Services LLP,Digital Marketing,Work From Home,"₹ 10,000 /month"
Saathi Eco Innovations India Private Limited,Graphic Design,Gundlupete,"₹ 3,000-5,000 /month"
SR Edu Technologies,Maths Training,Ahmedabad,"₹ 20,000-30,000 /month"
Jarvics Technologies,Business Development (Sales),Noida,"₹ 7,000-12,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),Graphic Design,Ahmedabad,"₹ 10,000-15,000 /month"
HOKO PRODUCTS LLP,Social Media Marketing,Hyderabad,"₹ 5,000 /month"
SR Edu Technologies,English Training,Kurali,"₹ 20,000-30,000 /month"
Saathi Eco Innovations India Private Limited,Content Writing,Morinda,"₹ 3,000-5,000 /month"
The Affordable Organic Store,Microbiology,Panchkula,"₹ 3,000 /month"
Wander XO,Visa Consulting,Patiala,"₹ 10,000 /month"
Brandshark,Search Engine Optimization (SEO),Kharar,"₹ 10,000 /month"
BookMyShow,Social Media Marketing,Mumbai,"₹ 7,500 /month"
Akrati Jewels Incorporation,Content & E-Commerce Management,Chandigarh,"₹ 10,000 /month"
Akrati Jewels Incorporation,Content Development (English),Panchkula,"₹ 10,000 /month"
Zedex Info Private Limited,Digital Marketing,Hyderabad,"₹ 12,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),Social Media Marketing,Ahmedabad,"₹ 10,000-15,000 /month"
Pereyan LLP,Supply Chain Management (SCM),Secunderabad,"₹ 12,000-15,000 /month"
ThumbStack,Business Development (Sales),Hyderabad,"₹ 5,000-10,000 /month"
FreeUp App,Fashion Catalogue,Navi Mumbai,"₹ 15,000 /month"
Ekatva Foundation,Social Work,Mumbai,"₹ 500-3,000 lump sum"
Girl Power Talk,Search Engine Optimization (SEO),Bangalore,"₹ 5,000-10,000 /month"
71 Tales Bar & Cafe,Marketing,Mumbai,"₹ 10,000 /month"
Wander XO,Social Media Marketing,Jaipur,"₹ 10,000 /month +  Incentives"
Joining Hands 2 Heal LLP,Social Media Marketing,Jaipur,"₹ 8,000 /month"
Hamari Pahchan NGO,Charity Drive,Mumbai,Unpaid
Wander XO,Business Development (Sales),Mumbai,"₹ 10,000 /month +  Incentives"
Honey Translation Services,Project Management,Bangalore,"₹ 5,000 /month"
Mobavenue Media Private Limited,Content Writing,Mumbai,"₹ 8,000-10,000 /month"
91homes,Interior Design,Bangalore,"₹ 5,000 /month"
Friends Media,Video Editing/Making,Work From Home,"₹ 8,000 /month"
Socio Genee,Database Building/Management,Mohali,"₹ 10,000 /month"
Minus Equals Plus,Videography,Thane,"₹ 3,000 /month"
Jasneet Kaur,Motion Graphics,Navi Mumbai,"₹ 10,000 /month"
NexGen Innovators IT Services Private Limited,Business Development (Sales),Mumbai,"₹ 5,000 /month"
Friends Media,Content Writing,Navi Mumbai,"₹ 3,000 /month"
Fusion Beauty,Creative Content Writing,Mumbai,"₹ 10,000-15,000 /month"
Friends Media,Business Development (Sales),Mumbai,"₹ 15,000 /month"
NexGen Innovators IT Services Private Limited,Content Writing,Work From Home,"₹ 5,000 /month"
ORBOL Ad/Film Production Networks,Luxury Brand Management,Mumbai,"₹ 2,000 /month"
Indika AI Private Limited,Video Editing/Making,Chennai,"₹ 7,000-10,000 /month"
Ayurveda House Private Limited,Social Media Content Creation,Mumbai,"₹ 8,000-10,000 /month"
Jasneet Kaur,Business Development (Sales),Delhi,"₹ 10,000 /month"
Megaminds IT Services,Digital Marketing,Ahmedabad,"₹ 7,000-10,000 /month"
Stax Media,Digital Marketing,Delhi,"₹ 10,000 /month"
Jarvics Technologies,Content Writing,Delhi,"₹ 7,000-12,000 /month"
Brihat Infotech Private Limited,Telecalling,Delhi,"₹ 2,000 /month +  Incentives"
ProtonX Media,Social Media Marketing,Hyderabad,"₹ 11,000 /month"
ChangeJar Technologies Private Limited,E-commerce Operations,Delhi,"₹ 15,000 /month"
Redefine Wealth Investment Advisors LLP,Video Editing/Making,Kharar,"₹ 15,000 /month"
PGMedia Overseas,Inside Sales,Kangra,"₹ 5,000 /month +  Incentives"
Jasneet Kaur,Social Media Marketing,Patiala,"₹ 10,000 /month"
Bempu Health,Graphic Design & Digital Social Media Marketing,Ranchi,"₹ 15,000 /month"
Law Samadhan,Law/Legal,Delhi,"₹ 2,000 /month"
Urban Venue,Digital Marketing,Bangalore,"₹ 5,000-10,000 /month"
CloudBird Digital Private Limited,Subject Matter Expert (SME),Noida,"₹ 8,000-9,000 /month"
Bros Labs,Social Media Marketing,Bangalore,"₹ 7,000 /month"
Uboard India Limited,Industrial And Production Engineering,Delhi,"₹ 7,000-10,000 /month"
Priyanshi  Agrawal,Influencer Marketing,Bangalore,"₹ 5,000-8,000 /month"
Aracknoid AI Solutions (Hygge),Research And Operations,Jaipur,"₹ 5,000 /month"
Super One Intelligence Vidyarthi Private Limited,Content Writing,Faridabad,"₹ 5,000-8,000 /month"
Jarvics Technologies,Digital Marketing,Delhi,"₹ 7,000-15,000 /month"
Kshitiksha Foundation,Personal Assistance,Gurgaon,Unpaid
Yogi Corporation (Dal & Pulse Mills),Digital Marketing,Noida,"₹ 5,000 /month"
MyMegaminds,Customer Service/Customer Support,Noida,"₹ 8,000-12,000 /month"
Medisynth Chemicals Private Limited,Graphic Design,Ahmedabad,"₹ 7,500 /month"
Jarvics Technologies,Social Media Marketing,Delhi,"₹ 7,000-12,000 /month"
SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Voice-Over Art,Ahmedabad,"₹ 1,000 /month"
Smartsevak,Business Development (Sales),Jaipur,"₹ 7,000-10,000 /month"
NayePankh Foundation,1 Week Virtual Charity Drive (Fundraising),Noida,20% of Total Funds Raised
Gigde Global Solutions Private Limited,Business Development (Sales),Kharar,"₹ 15,000-20,000 /month"
ASOWin,Event Management,Chandigarh,"₹ 2,000-7,000 /week"
Mirats Insights,Client Acquisition,Patiala,"₹ 8,000-10,000 /month"
Mirats Insights,Lead Generation,Punjab,"₹ 8,000-10,000 /month"
WebDence,Architecture,Rajpura,"₹ 5,000-8,000 /month"
Wagtail Industries,Photography,Mohali,"₹ 8,000-10,000 /month"
Akrati Jewels Incorporation,Content Writing,Work From Home,"₹ 8,000-10,000 /month"
Vijya Fintech,Customer Service/Customer Support,Ahmedabad,"₹ 6,000 /month"
Dolphin Ad World Private Limited,Copywriting,Gaya,"₹ 8,000 /month"
Weroute Systems Private Limited,Business Development (Sales),Patna,"₹ 10,000 /month"
Tasuvure,Store Fashion Consultant,Ranchi,"₹ 12,000-15,000 /month"
Growify Digital,Fashion Consultant,Nawada,"₹ 10,000-15,000 /month"
Wagtail Industries,Business Development (Sales),Navi Mumbai,"₹ 8,000-12,000 /month"
Pro India,Digital Marketing,Mumbai,"₹ 5,000 /month"
Lazy Gardener,E-Commerce Management,Delhi,"₹ 8,500 /month"
Alphanumeric Ideas Private Limited,Graphic Design,Gurgaon,"₹ 6,000 /month"
Indian Art Villa,Photo Editing,Noida,"₹ 6,000 /month"
"We, Innovators",Graphic Design,Delhi,"₹ 7,000 /month"
Aracknoid AI Solutions (Hygge),Online Counseling- Psychology Student,Delhi,"₹ 5,000 /month"
Robocapital,Equity Analyst,Mumbai,"₹ 7,000 /month"
Sutra Services Private Limited,International Business Development,Gurgaon,"₹ 15,000 /month"
OutreachMani,Social Media Marketing,Delhi,"₹ 10,000 /month"
OutreachMani,Content Writing,Zirakpur,"₹ 10,000 /month"
Jasneet Kaur,Anchoring,Mohali,"₹ 10,000 /month"
Jasneet Kaur,FILM ASSISTANT DIRECTION,Jaipur,"₹ 10,000 /month"
Alphanumeric Ideas Private Limited,Digital Marketing,Bhopal,"₹ 6,000 /month"
Honey Translation Services,Human Resources (HR),Jaipur,"₹ 5,000 /month"
InstaAstro,Social Media Marketing,Mumbai,"₹ 10,000 /month"
Enki Studio,Graphic Design,Mumbai,"₹ 15,000 /month"
Friends Media,Back Office Operations,Jaipur,"₹ 12,000 /month"
Minus Equals Plus,Social Media Marketing,Jaipur,"₹ 3,000 /month"
WEMATTER PXT Limited,Video Editing/Making,Delhi,"₹ 5,000 /month"
Ayurveda House Private Limited,Content Creation,Delhi,"₹ 8,000-10,000 /month"
INFINITE HORIZON EXPORTS,Telecalling & Database Management,Chandigarh,"₹ 7,000 /month +  Incentives"
Akrati Jewels Incorporation,Graphic Design,Mohali,"₹ 8,000-10,000 /month"
Pick My Work,Business Development (Sales),Chennai,"₹ 10,000 /month"
Grandiose Events And Entertainment,Event Management/Talent Management,Noida,"₹ 10,000 /month +  Incentives"
Eat Nino Private Limited,Video Editing/Making,Gurgaon,"₹ 10,000-15,000 /month"
Stax Media,Video Editing/Making,Delhi,"₹ 10,000 /month"
CloudBird Digital Private Limited,Human Resources (HR),Panjim,"₹ 7,000 /month"
Eminent Pro Advisors,Business Development (Sales),Mapusa,"₹ 10,000 /month +  Incentives"
YourDOST Health Solutions,Business Development Associate (Intern) - Corporate Sales,Goa Velha,"₹ 15,000 /month"
Even Cargo,Curriculum Design,Anjuna,"₹ 10,000-15,000 /month"
Even Cargo,Operations,Bardez,"₹ 10,000 /month"
Internshala,Sales Operations,Panaji,"₹ 18,000 /month"
Smartbytes Technology Private Limited,Business Development (Sales),Colva,"₹ 5,500 /month"
Ayurveda House Private Limited,Social Media Marketing,Mumbai,"₹ 8,000-10,000 /month"
Ayurveda House Private Limited,Search Engine Optimization (SEO),Delhi,"₹ 8,000-10,000 /month"
Innovalance Learning Systems,Subject Matter Expert (Advance Physics/Physics),Nagpur,"₹ 12,000 /month"
Pest Control All India,Sales Consultant,Jaipur,"₹ 8,000 /month +  Incentives"
TradeHike Consulting,Facebook & Google Ads,Gurgaon,"₹ 7,500-10,000 /month"
Even Cargo,Campaign Managemnet,Mumbai,"₹ 10,000-15,000 /month"
Branch Karma,Digital Marketing,Mumbai,"₹ 5,000 /month"
Ayurveda House Private Limited,Instagram Ad Copywriting,Delhi,"₹ 8,000-10,000 /month"
Anandvan Greens,Executive Assistant,Work From Home,"₹ 10,000-20,000 /month"
Jasneet Kaur,Non Fiction Script Writing,Mumbai,"₹ 10,000 /month"
Even Cargo,Social Media Marketing,Delhi,"₹ 10,000 /month"
Innovalance Learning Systems,Subject Matter Expert - Economics,Delhi,"₹ 12,000 /month"
Paduka Consultants Private Limited,Content Writing,Mira Bhayandar,"₹ 4,000-7,000 /month"
CheQ Digital Private Limited,Community Engagement,Mumbai,"₹ 15,000 /month"
Even Cargo,Business Research,Delhi,"₹ 10,000 /month"
ARBIS WEALTH PRIVATE LIMITED,Business Development (Sales),Delhi,"₹ 8,500 /month +  Incentives"
SR Edu Technologies,Voice Over Artist,Delhi,"₹ 10,000-25,000 /month"
ASOWin,Relationship Management,Delhi,"₹ 9,000 /month"
